Name	Length	CAI	%G+C	%G+C(1)	%G+C(2)	%G+C(3)	Nc
b0989	213	0.632	46.9	56.3	45.1	39.4	52.2
b0990	213	0.742	44.1	50.7	35.2	46.5	49
b4723	189	0.669	46.6	47.6	44.4	47.6	61
b0991	231	0.69	41.6	39	41.6	44.2	53.7
b4517	174	0.676	39.7	46.6	27.6	44.8	34.5
b0992	1074	0.703	49.2	48	45	54.5	53.2
b0993	2745	0.7	53.8	64.5	40.2	56.6	48.6
b0994	1029	0.697	53.4	62.7	41.4	56.3	48.1
b0995	693	0.711	52.4	65.4	38.5	53.2	48.3
b0996	1173	0.739	51.2	55.5	41.9	56.3	48.2
b0997	2547	0.752	55.3	61.2	42.3	62.4	43.4
b0998	600	0.722	53.3	60.5	39.5	60	49
b0999	306	0.725	54.2	66.7	37.3	58.8	42
b1000	921	0.768	52.9	63.5	39.1	56	42.3
b1001	1257	0.673	34.1	42.5	29.1	30.8	52.6
b1002	1242	0.752	51.6	57.7	38.6	58.5	45.2
b1003	228	0.724	46.9	57.9	36.8	46.1	61
b1004	597	0.705	53.9	62.3	49.2	50.3	42.6
b4518	174	0.728	51.1	58.6	51.7	43.1	44.2
b1006	1329	0.716	54	57.8	44.5	59.8	50.3
b1007	495	0.704	59	58.8	51.5	66.7	47.9
b1008	591	0.693	57.2	57.9	51.3	62.4	44.1
b1009	801	0.705	57.9	68.9	43.8	61	46.4
b1010	387	0.724	54	57.4	42.6	62	47.2
b1011	693	0.731	55.4	58.4	43.7	64.1	43.8
b1012	1149	0.719	55.1	56.9	44.9	63.4	49.5
b1013	639	0.749	51.3	57.7	39.9	56.3	47.3
b1014	3963	0.749	57	66.2	44.1	60.6	43.6
b4737	123	0.633	38.2	36.6	36.6	41.5	50.6
b1015	1509	0.77	53.7	53.7	43.9	63.4	40.8
b1018	1128	0.76	51.3	59.8	37.8	56.4	41.2
b1019	1272	0.708	53.8	61.8	41.3	58.3	49
b1020	1065	0.662	52.2	60.8	43.7	52.1	56.2
b1021	414	0.668	44.2	50.7	32.6	49.3	53.1
b1022	1326	0.702	46.7	49.1	40.7	50.2	53.9
b1023	2019	0.647	44.4	56.8	37.9	38.6	54.1
b1024	2424	0.665	47.3	58	41.8	42.1	52.8
b1025	1359	0.666	38.6	42.8	32	40.8	52.6
b1026	867	0.685	55.1	56.7	46.7	61.9	47.7
b1027	300	0.67	50	59	43	48	59.4
b1029	987	0.668	40.5	41.6	31.9	48	54.9
b1033	939	0.681	51.2	63.3	42.8	47.6	47.1
b1034	738	0.716	48.4	58.9	39.4	46.7	51.9
b1035	555	0.688	53.5	62.2	44.3	54.1	47.4
b1036	492	0.664	53.9	56.1	48.2	57.3	48.2
b1037	834	0.709	50.1	54.7	39.9	55.8	47.3
b1038	417	0.727	42.4	46.8	38.8	41.7	45.7
b1039	390	0.669	43.1	50.8	37.7	40.8	52.5
b1040	651	0.678	41.8	45.6	32.3	47.5	54.1
b1041	456	0.664	41.9	49.3	42.8	33.6	53.1
b1042	456	0.723	51.1	59.2	48	46.1	37.2
b1043	333	0.591	42.6	46.8	42.3	38.7	59.1
b1044	312	0.731	43.6	45.2	36.5	49	53.8
b1045	534	0.684	51.7	67.4	43.3	44.4	52.7
b1046	1422	0.673	50.7	57.8	41.1	53.2	54
b1047	1158	0.704	43.9	43.8	35.2	52.6	54.4
b1048	1536	0.737	49.9	53.9	40	55.7	44.8
b1049	2544	0.727	55	59.3	43	62.5	46.9
b1050	228	0.725	50.4	55.3	40.8	55.3	43.5
b1051	375	0.661	50.1	69.6	32.8	48	51.8
b1053	1227	0.633	52.5	55	43.8	58.7	52.1
b1054	921	0.742	53	57.7	42.7	58.6	48.1
b1055	1053	0.729	49.8	57.3	38.5	53.6	48.8
b1056	576	0.754	47.4	53.6	37.5	51	43.3
b1057	567	0.657	51.1	55	43.9	54.5	53.6
b1058	141	0.718	37.6	42.6	17	53.2	42.6
b1059	1119	0.723	52.5	61.1	41.6	54.7	45
b1060	255	0.689	45.1	52.9	34.1	48.2	61
b1061	246	0.7	48	58.5	43.9	41.5	59.7
b1062	1047	0.678	53.1	62.5	41.3	55.6	51.2
b1063	561	0.729	46.9	55.1	31.6	54	43.5
b1064	648	0.725	49.1	56.9	33.3	56.9	49.1
b1065	1209	0.713	55.3	58.1	44.4	63.5	50.1
b1066	585	0.747	49.4	57.9	40.5	49.7	50.8
b1067	648	0.767	51.9	65.7	37.5	52.3	41.7
b1068	924	0.716	55.3	63	46.1	56.8	49.3
b1069	1536	0.738	53.7	55.3	42	63.9	45
b1070	417	0.689	48.2	56.8	34.5	53.2	51.9
b1071	294	0.718	52.7	54.1	48	56.1	50.2
b1072	660	0.647	52.3	61.8	42.3	52.7	51.6
b1073	417	0.717	53.5	63.3	40.3	56.8	46.9
b1074	405	0.705	52.8	63	40.7	54.8	49.9
b1075	696	0.718	54.6	53	49.1	61.6	42.6
b1076	1209	0.744	51.5	50.6	43.9	60	43.9
b1077	756	0.711	59.1	64.3	50.8	62.3	44.1
b1078	783	0.736	53.8	57.9	41.4	62.1	44.6
b1079	699	0.747	53.5	54.1	46.8	59.7	44.2
b1080	1098	0.684	54.2	60.4	44.8	57.4	47.5
b1081	942	0.708	54.7	59.6	42	62.4	47.5
b1082	1644	0.738	51.8	55.5	42.3	57.7	46.3
b1083	954	0.706	50.7	55	41.8	55.3	55.1
b1084	3186	0.725	55.6	72.3	44.4	50.2	43
b1085	321	0.682	44.5	39.3	46.7	47.7	61
b1086	960	0.723	51.5	64.4	40.3	49.7	46.5
b1087	585	0.704	50.1	61.5	41	47.7	54.7
b1088	522	0.681	49.6	64.4	35.1	49.4	50.5
b1089	174	0.707	54	58.6	46.6	56.9	37.5
b1090	1071	0.628	52.1	62.2	42.9	51.3	54.5
b1091	954	0.723	54.7	61.3	46.2	56.6	46.5
b1092	930	0.728	55.2	67.1	45.8	52.6	46.1
b1093	735	0.744	51.6	59.2	45.7	49.8	43.5
b1094	237	0.738	48.1	63.3	27.8	53.2	35.8
b1095	1242	0.73	53.3	59.9	47.6	52.4	43.8
b1096	810	0.642	50.6	58.5	42.6	50.7	54.3
b1097	1023	0.707	50.7	57.2	39.3	55.7	46.4
b1098	642	0.72	54	66.4	40.2	55.6	51
b1099	1005	0.692	54	66	45.1	51	54
b1100	798	0.717	50.9	67.3	36.8	48.5	50.1
b1101	1434	0.737	52.6	57.9	42.5	57.5	40
b1102	2190	0.72	50	51.9	43.6	54.5	49.1
b1103	360	0.718	50.6	62.5	35.8	53.3	49
b1104	378	0.715	49.5	54.8	42.9	50.8	55.1
b1105	642	0.69	56.4	63.6	46.7	58.9	50.2
b1106	825	0.666	53.3	61.5	42.2	56.4	52.7
b1107	1026	0.744	53	64.3	43.6	51.2	45.1
b1108	543	0.725	46.6	52.5	29.8	57.5	53.8
b1109	1305	0.75	53	60	39.5	59.3	42.5
b1110	540	0.696	53.7	63.3	43.9	53.9	46.7
b1111	633	0.7	51.2	55	44.1	54.5	56.8
b1112	258	0.673	47.3	52.3	45.3	44.2	61
b1113	963	0.706	53.3	62	44.2	53.6	44.9
b1114	3447	0.737	54.8	66.5	38.8	59	45.3
b1115	1074	0.722	49.5	48.3	39.7	60.6	47.9
b1116	1200	0.679	54.2	63.5	40.2	58.8	47.9
b1117	702	0.783	55.1	63.2	38.9	63.2	40
b1118	1245	0.756	51.9	57.1	38.3	60.2	46
b1119	912	0.724	52.7	65.1	44.4	48.7	47.7
b1120	840	0.746	51.8	66.4	40.7	48.2	48.7
b1121	789	0.624	42.6	47.9	39.9	39.9	57.8
b1122	462	0.677	43.5	45.5	39	46.1	56.9
b1123	1047	0.752	50.8	53.3	38.4	60.7	40.1
b1124	795	0.77	50.2	51.3	38.5	60.8	36.9
b1125	828	0.723	50.8	51.8	33.7	67	42.9
b1126	1137	0.715	50.8	62.3	32.2	58	48.8
b1127	1227	0.783	49.9	60.1	35.7	53.8	43.6
b1128	1122	0.745	54	67.1	37.2	57.8	46.7
b1129	1461	0.678	51.3	59.3	36.3	58.3	50
b1130	672	0.746	47.8	62.9	32.6	47.8	46.5
b1131	1371	0.757	52.3	60.4	36.1	60.4	40.9
b1132	642	0.709	57.2	65	43	63.6	46.4
b1133	1107	0.756	53.7	63.7	37.7	59.9	37.8
b1134	462	0.76	50.2	59.1	40.3	51.3	41.8
b1135	654	0.713	51.2	57.8	44	51.8	46.1
b1136	1251	0.747	50.2	60.2	37.9	52.5	39.5
b1137	666	0.615	34.8	42.3	34.7	27.5	46.8
b1138	705	0.625	30.9	37.9	27.7	27.2	50.1
b1139	894	0.605	36.8	46.6	36.2	27.5	45.9
b1140	1128	0.635	44.8	53.5	42.6	38.3	55.5
b1141	246	0.588	44.3	50	41.5	41.5	52.8
b1142	312	0.562	54.2	62.5	50	50	60.5
b1143	342	0.65	38.6	47.4	30.7	37.7	54.1
b1144	309	0.605	46.9	51.5	35	54.4	58
b1145	675	0.621	44.4	48	42.2	43.1	55.6
b1146	201	0.738	42.8	46.3	38.8	43.3	60.9
b1147	558	0.689	49.6	61.8	40.3	46.8	48.3
b1148	339	0.639	49.9	47.8	46.9	54.9	59.6
b1149	1368	0.732	54.3	57	41.9	64	46.2
b1150	183	0.711	60.1	65.6	47.5	67.2	35.6
b1151	474	0.69	56.3	58.2	46.8	63.9	47.7
b1153	585	0.736	57.3	58.5	50.8	62.6	46.9
b1154	630	0.636	50.3	55.2	47.1	48.6	60
b1155	414	0.699	42	53.6	38.4	34.1	47.8
b1156	603	0.693	47.8	56.2	47.3	39.8	52.8
b1158	555	0.606	48.8	60.5	44.9	41.1	51.4
b1159	834	0.626	38.4	48.6	36.3	30.2	50
b1160	324	0.531	34	32.4	38.9	30.6	50.1
b4738	45	0.563	31.1	20	33.3	40	27.2
b4739	111	0.566	29.7	27	24.3	37.8	35.3
b1161	405	0.71	36.8	42.2	31.1	37	54.4
b1162	732	0.659	48.8	58.2	42.2	45.9	57.6
b1163	1212	0.618	43.6	55.2	36.1	39.4	56.6
b1164	237	0.623	41.8	55.7	35.4	34.2	39
b1165	273	0.581	37	41.8	34.1	35.2	61
b1166	267	0.668	34.8	42.7	32.6	29.2	43.4
b1167	249	0.671	35.7	42.2	25.3	39.8	54.1
b1168	1524	0.636	44.6	53.5	35.2	45.1	59
b4520	219	0.625	40.2	46.6	26	47.9	57.4
b1171	330	0.781	45.2	51.8	37.3	46.4	38.3
b1172	345	0.669	52.2	62.6	52.2	41.7	45.9
b4593	174	0.668	32.2	31	24.1	41.4	61
b4594	186	0.62	38.2	35.5	46.8	32.3	56.5
b1174	267	0.709	43.4	60.7	27	42.7	46
b1175	813	0.715	49.9	60.1	38.4	51.3	49.7
b1176	696	0.653	51	61.2	44.4	47.4	53.4
b1177	369	0.703	42.3	45.5	42.3	39	47.9
b1178	402	0.647	43	47	36.6	45.5	61
b1179	327	0.681	43.1	52.3	30.3	46.8	57.3
b1180	660	0.7	52	60.9	40.9	54.1	48.3
b1181	462	0.753	47.6	54.5	39.6	48.7	41.7
b1182	912	0.714	41.1	48	32.2	43.1	54.8
b1183	420	0.69	48.1	57.1	37.1	50	44.5
b1184	1269	0.661	51	56.5	42.8	53.7	52.2
b1185	531	0.779	52.7	58.2	40.1	59.9	47.2
b1186	1542	0.739	52.9	56.4	37.5	64.6	45.3
b1187	720	0.745	51.2	58.3	41.2	54.2	43.1
b1188	1533	0.739	49.8	54.6	34.1	60.9	45.9
b1189	1299	0.727	56.3	63.5	45.5	59.8	46.2
b1190	1071	0.706	58	63.3	46.5	64.1	46.5
b4740	204	0.67	51	54.4	36.8	61.8	44.8
b1191	1737	0.707	52.3	60.4	40.6	56	49.3
b1192	915	0.725	53	60	43	56.1	51.8
b1193	612	0.717	52	55.4	44.6	55.9	54
b1194	735	0.702	50.7	58.4	38	55.9	51.6
b1195	255	0.656	53.3	57.6	42.4	60	43.2
b1196	441	0.71	41.5	49	37.4	38.1	56.5
b1197	1698	0.732	52.3	58.1	41.9	56.9	45.7
b1198	1419	0.688	50.2	64.1	39.3	47.1	47.9
b1199	633	0.695	53.6	58.3	46	56.4	44.8
b1200	1071	0.715	53	62.7	42.3	54.1	48.6
b1201	1920	0.664	51.5	59.7	42.7	52	49.5
b1202	2868	0.649	49.8	51.7	46.2	51.5	52.6
b1203	1092	0.748	51	62.4	36.8	53.8	42.8
b1204	585	0.72	49.7	59.5	41.5	48.2	47.4
b1205	279	0.715	53	61.3	39.8	58.1	51.6
b1206	1680	0.703	54.6	63.2	43.6	57.1	44.9
b1207	948	0.73	52.5	64.2	40.5	52.8	40.2
b1208	852	0.668	53.4	62.7	44.7	52.8	53.1
b1209	624	0.709	51.4	58.2	39.4	56.7	47
b1210	1257	0.745	54.3	65.2	39.4	58.5	44.2
b1211	1083	0.753	53	67.9	40.4	50.7	41.4
b1212	834	0.68	55.2	69.1	42.4	54	48
b1213	393	0.684	47.6	53.4	38.2	51.1	47.1
b1214	810	0.761	46.4	57.4	31.9	50	49.7
b1215	855	0.76	51.6	62.1	35.8	56.8	42.1
b4419	108	0.695	55.6	50	47.2	69.4	44.1
b4421	108	0.684	58.3	52.8	50	72.2	42.2
b4423	108	0.695	55.6	50	47.2	69.4	44.1
b1216	1101	0.709	48.8	54.8	38.7	52.9	50.4
b1217	231	0.788	45.5	58.4	35.1	42.9	40.2
b1218	696	0.681	54.7	62.5	47	54.7	48.7
b1219	354	0.658	51.7	57.6	39	58.5	54.6
b1220	1395	0.678	50.5	59.4	41.1	51.2	51.3
b1221	651	0.73	51.8	63.1	35.5	56.7	43.2
b1222	1797	0.701	53.4	63.6	40.2	56.3	49.8
b1223	1392	0.727	53.7	53.4	47.2	60.3	46.6
b1224	3744	0.773	54.9	58.7	42.4	63.7	39
b1225	1539	0.81	53.7	57.7	40.7	62.8	34.7
b1226	711	0.812	56.4	69.6	36.3	63.3	39.4
b1227	678	0.769	55.9	57.5	38.5	71.7	40.6
b1228	276	0.587	59.4	64.1	57.6	56.5	60.9
b1229	90	0.586	64.4	63.3	73.3	56.7	51.9
b1232	843	0.725	47.2	60.1	33.5	48	52.2
b1233	459	0.652	46.4	53.6	48.4	37.3	54.5
b1234	906	0.675	50.2	58.6	45.4	46.7	55.7
b1235	1014	0.679	48.6	61.8	36.7	47.3	54.4
b1236	909	0.748	47	61.1	35.3	44.6	46.5
b1237	414	0.703	46.6	62.3	37.7	39.9	38.5
b1238	618	0.726	42.2	54.4	36.4	35.9	50.3
b1241	2676	0.714	50.6	60.1	41.4	50.4	34.8
b1242	648	0.669	47.8	47.2	39.8	56.5	53.5
b4711	1017	0.707	54.7	55.8	37.5	70.8	43
b1243	1632	0.734	47.7	53.7	38.8	50.7	47.3
b1244	921	0.694	45.7	50.2	40.1	46.9	47
b1245	909	0.693	52.4	57.4	38.6	61.1	52.4
b1246	1014	0.697	51.8	59.2	40.2	55.9	50.9
b1247	1005	0.691	51.5	60.3	38.8	55.5	50.5
b1248	330	0.765	47.3	67.3	25.5	49.1	40
b1249	1461	0.684	51.7	57.5	41.1	56.5	50.5
b4595	174	0.652	50.6	43.1	46.6	62.1	45.3
b1250	1254	0.673	42.3	46.7	34.9	45.5	53.1
b1251	297	0.669	48.8	65.7	43.4	37.4	54.5
b1252	720	0.67	54.4	65	47.5	50.8	47.7
b1253	399	0.685	48.4	58.6	43.6	42.9	48.7
b1254	540	0.698	46.5	48.3	30.6	60.6	45.8
b1255	744	0.699	49.3	52.4	39.5	56	53.9
b1256	639	0.701	50.1	55.4	46.9	47.9	50.2
b1257	507	0.676	40.6	52.1	36.1	33.7	52.5
b1258	501	0.723	43.1	56.3	32.3	40.7	54.4
b1259	180	0.77	51.1	63.3	55	35	42.6
b1260	807	0.728	53.5	63.6	41.6	55.4	48.7
b1261	1194	0.748	54.7	62.3	42.2	59.5	44.2
b1262	1362	0.734	52.8	63.2	38.8	56.4	48.4
b1263	1596	0.761	56.4	65.6	42.9	60.7	42.1
b1264	1563	0.737	54.4	65.1	43	55.1	46
b1265	45	0.722	44.4	33.3	53.3	46.7	20
b1266	882	0.685	54.1	65	44.9	52.4	55.3
b1267	621	0.757	48.1	57	36.2	51.2	40.7
b1268	1896	0.667	47	53.8	41.1	46	56.8
b1269	876	0.757	53.8	67.5	45.2	48.6	38.5
b1270	591	0.722	50.3	65	39.1	46.7	48.6
b1271	759	0.723	52.4	60.5	43.9	53	43.8
b1272	1050	0.718	50.6	61.7	35.4	54.6	51.4
b1273	252	0.73	47.2	57.1	31	53.6	51.8
b1274	2598	0.755	51.8	59.1	41.7	54.5	43
b1275	975	0.688	48.3	57.5	39.7	47.7	49
b4522	165	0.692	47.3	58.2	41.8	41.8	44.8
b4523	168	0.628	45.8	62.5	32.1	42.9	56.6
b4741	96	0.667	45.8	28.1	40.6	68.8	31
b1276	2676	0.704	52.9	61.7	42.7	54.4	49.9
b1277	591	0.734	50.1	63.5	35	51.8	42.9
b1278	765	0.608	50.6	58.8	46.7	46.3	55.8
b1279	309	0.698	50.2	56.3	37.9	56.3	57.6
b1280	1170	0.729	51.9	61.8	37.4	56.4	48
b1281	738	0.684	53	65	44.7	49.2	47.6
b1282	327	0.697	49.8	63.3	43.1	43.1	42.9
b1283	219	0.665	52.1	54.8	57.5	43.8	43.5
b1284	750	0.687	48.8	56.8	37.2	52.4	50.6
b4596	174	0.681	47.7	63.8	32.8	46.6	44.1
b1285	1986	0.68	48.5	57.4	39.4	48.6	52.8
b4672	105	0.696	30.5	25.7	28.6	37.1	30.2
b1286	1935	0.739	53.2	65.6	39.8	54.3	44.4
b1287	1128	0.648	50.8	55.9	44.4	52.1	54.3
b1288	789	0.742	53.2	60.8	43.3	55.5	34
b1289	354	0.684	49.7	56.8	42.4	50	61
b1290	807	0.751	51.2	59.5	38.3	55.8	45
b1291	993	0.72	51.4	57.4	42.6	54.1	46.4
b1292	891	0.714	56.9	62.3	46.5	62	50.4
b1293	966	0.767	51.4	49.7	40.7	64	45.2
b1294	1644	0.734	54.3	59.7	42.5	60.6	45
b1295	246	0.69	48.4	61	31.7	52.4	59.8
b1296	1386	0.755	53.3	53.9	39.8	66.2	45.3
b4742	165	0.631	53.9	49.1	58.2	54.5	42.7
b1297	1419	0.749	53.5	64.7	35.9	59.8	47.1
b1298	765	0.67	52.3	64.7	39.6	52.5	55.1
b1299	558	0.67	50.9	56.5	41.4	54.8	53.2
b1300	1488	0.779	57.3	62.3	45.2	64.5	39
b1301	1281	0.784	58.2	63	42.6	69.1	38.3
b1302	1266	0.785	57.7	63.7	43.1	66.1	40.7
b1303	978	0.709	51.7	62.9	36.8	55.5	51.4
b1304	669	0.795	49.3	64.1	33.2	50.7	48.5
b1305	225	0.769	47.6	57.3	40	45.3	39.9
b1306	360	0.75	50.3	57.5	38.3	55	51.8
b1307	222	0.66	54.5	63.5	48.6	51.4	45.6
b1308	315	0.7	50.8	62.9	33.3	56.2	40.1
b1309	1680	0.719	43.9	52.3	36.1	43.2	49.7
b1310	1293	0.76	50	55.5	37.8	56.8	43.6
b1311	882	0.754	53.6	51.7	37.4	71.8	42.4
b1312	843	0.734	52.8	48.4	38.1	71.9	42.5
b1313	1053	0.772	55.7	60.7	42.5	64.1	40.9
b1314	789	0.817	53.6	62.4	35.4	63.1	36.9
b1315	1056	0.753	54.7	61.1	41.2	61.9	42.7
b1316	2268	0.726	53.7	61.1	42.6	57.5	48.9
b1317	660	0.726	56.5	61.8	43.2	64.5	44
b1319	906	0.76	49.9	55.3	38.1	56.3	50.2
b1320	999	0.775	45.4	53.5	39.6	43.2	42.6
b1321	1398	0.703	54.4	63.3	40.8	59.2	47.9
b1322	1062	0.722	56.3	65.5	44.6	58.8	45.3
b1323	1542	0.707	52.1	63.2	37.4	55.8	47.8
b1324	507	0.744	51.3	60.9	40.2	52.7	40.3
b1325	966	0.684	54.7	64	45	55	46.5
b1326	729	0.719	54.9	59.7	51	53.9	50.7
b4525	183	0.624	39.9	52.5	36.1	31.1	51.4
b4673	66	0.721	36.4	45.5	27.3	36.4	23
b1327	921	0.72	48	53.7	43.6	46.6	49.9
b1328	900	0.623	46.6	59	42	38.7	49.3
b1329	1614	0.718	48	53.9	40	50	47.4
b1330	1032	0.731	43.2	46.2	36.3	47.1	50.3
b1331	1017	0.707	54.7	55.8	37.5	70.8	43
b1332	258	0.757	45.3	44.2	34.9	57	44.2
b1333	951	0.721	50.6	64	33.1	54.6	46.2
b1334	753	0.725	51.7	56.2	39	59.8	46
b1335	516	0.659	53.1	62.2	45.3	51.7	49.7
b1336	1527	0.676	49.2	53.2	40.3	54.2	52.1
b1337	1446	0.696	52.6	60.2	45.6	51.9	50.1
b1338	1311	0.684	55.2	68	46.9	50.8	52.7
b1339	909	0.69	49.6	58.1	39.6	51.2	51.3
b1340	564	0.702	54.3	65.4	39.4	58	46.5
b1341	1233	0.692	47.7	56.9	36.7	49.4	53.2
b1342	984	0.69	51.9	63.7	41.5	50.6	48.9
b4743	174	0.608	53.4	65.5	51.7	43.1	53.1
b1343	1374	0.7	52	61.8	43.9	50.2	48.2
b1344	936	0.737	48.6	57.7	33.3	54.8	46.1
b1345	1236	0.636	43	45.4	40.5	43	55.6
b1346	216	0.635	44.9	48.6	36.1	50	60.6
b1347	210	0.717	34.8	32.9	40	31.4	39.7
b1348	195	0.621	40.5	46.2	52.3	23.1	40.5
b1349	810	0.664	47.2	58.1	41.1	42.2	48.8
b1350	2601	0.663	49.4	61	40.7	46.5	49.7
b1351	276	0.7	39.1	52.2	30.4	34.8	45.5
b4526	171	0.69	36.8	45.6	29.8	35.1	38.1
b1352	222	0.627	41.9	50	40.5	35.1	61
b1353	489	0.623	37.2	41.1	33.1	37.4	56.2
b4527	156	0.678	49.4	42.3	42.3	63.5	52.4
b1355	135	0.684	47.4	51.1	33.3	57.8	35.6
b1356	477	0.602	41.9	50.9	39	35.8	57.3
b1357	297	0.623	43.4	51.5	47.5	31.3	50.7
b1358	423	0.72	50.8	62.4	38.3	51.8	61
b1359	858	0.628	47.9	57	40.2	46.5	56.9
b1360	747	0.713	52.7	57.8	39.4	61	49.9
b1361	561	0.653	48.8	55.1	48.1	43.3	50.5
b4528	186	0.564	57	51.6	46.8	72.6	40
b1363	1458	0.603	38.1	42	39.9	32.3	53.3
b1365	264	0.689	48.1	58	34.1	52.3	49.4
b1366	360	0.682	47.2	58.3	33.3	50	41.8
b1368	1029	0.596	46.8	60.3	41.7	38.5	53.2
b1370	981	0.717	55.5	57.5	37.3	71.6	41.4
b1372	3363	0.678	53.3	54	58.5	47.5	51.7
b1373	576	0.689	48.1	58.3	41.1	44.8	42.7
b1374	591	0.624	44.7	54.3	43.7	36	49.1
b1375	234	0.606	35.9	44.9	30.8	32.1	39.9
b4744	114	0.503	34.2	31.6	28.9	42.1	61
b1376	435	0.697	48.5	59.3	35.9	50.3	51.5
b1377	1134	0.766	46.6	55	39.9	45	40.4
b1378	3525	0.743	53.2	62	43.1	54.6	45.2
b4529	267	0.676	54.7	55.1	61.8	47.2	50.5
b1379	423	0.75	46.8	52.5	37.6	50.4	44.1
b1380	990	0.771	50.1	58.8	35.5	56.1	41.8
b1381	2640	0.689	52.1	60.3	43	53.1	48
b1382	186	0.66	43	50	32.3	46.8	59.8
b1383	327	0.607	45	58.7	35.8	40.4	52.2
b1384	906	0.666	48.6	59.6	40.1	46	53.8
b1385	1500	0.678	53.4	61.6	47.2	51.4	49.2
b1386	2274	0.718	50.6	58.4	38.7	54.7	47.4
b1387	2046	0.679	54.2	64.7	46.2	51.8	50.7
b1388	930	0.694	52.2	58.4	41.3	56.8	52.1
b1389	288	0.76	49.7	59.4	43.8	45.8	43
b1390	747	0.738	53	63.1	40.6	55.4	52.2
b1391	498	0.685	55.8	57.8	51.8	57.8	48.6
b1392	1071	0.751	53.3	60.5	43.4	56	44.7
b1393	768	0.688	54.6	63.7	44.5	55.5	47.9
b1394	789	0.637	54.5	66.9	45.2	51.3	49.4
b1395	1428	0.66	53.2	64.7	43.1	51.9	51.6
b1396	423	0.688	51.5	58.2	46.1	50.4	54.2
b1397	1206	0.665	56	66.9	48.5	52.5	47.6
b1398	1314	0.714	51.8	60.3	42.5	52.7	49.7
b1399	951	0.687	50.4	60.6	42.9	47.6	52
b1400	591	0.699	50.6	64	37.1	50.8	50.4
b4674	66	0.685	13.6	18.2	13.6	9.1	22.5
b1402	906	0.621	55.1	61.3	47.7	56.3	52.5
b1403	366	0.594	53	65.6	40.2	53.3	54.9
b1404	1152	0.594	45.8	51.3	45.3	40.9	56.3
b1406	861	0.675	53.1	63.8	42.5	53	52.4
b1407	2307	0.651	43.5	53.6	35.9	41	55
b1408	606	0.637	46.5	49.5	38.6	51.5	51.9
b1409	897	0.682	43.6	44.1	41.8	44.8	53.9
b1410	1758	0.684	50.9	61.8	42.2	48.8	50.1
b1411	1293	0.646	50.6	55.5	42.9	53.4	55.1
b1412	606	0.738	52	59.4	40.6	55.9	38.9
b1413	3903	0.75	53.4	61.8	37.1	61.4	44
b1414	801	0.681	51.2	58.4	43.4	51.7	53.7
b1415	1440	0.692	51	61.5	40.8	50.6	48.7
b1418	531	0.68	47.6	49.7	37.9	55.4	58
b1419	174	0.676	44.3	39.7	53.4	39.7	58.3
b4428	150	0.575	53.3	52	38	70	42.1
b1420	168	0.589	51.2	60.7	50	42.9	57.1
b1421	1641	0.684	51.2	59.4	44.4	49.9	52.3
b1422	924	0.632	50.5	62.3	43.2	46.1	54.8
b1423	1344	0.69	52.7	65	39.7	53.3	50.6
b1424	1656	0.718	50.8	56.5	44	51.8	48.2
b1426	225	0.682	41.3	53.3	22.7	48	47.3
b1427	540	0.728	43.3	53.9	30	46.1	61
b1428	981	0.7	48.4	59.9	38.2	47.1	49.6
b1429	993	0.69	53.2	56.2	45.9	57.4	50.6
b1430	594	0.751	46	53.5	35.9	48.5	52.1
b1431	669	0.723	44.7	50.7	40.8	42.6	41.9
b1432	1149	0.662	51.9	55.1	43.9	56.7	54.4
b1433	1176	0.641	53	57.9	49	52	56.4
b1434	537	0.633	49.3	57.5	43.6	46.9	56.9
b1435	1962	0.738	51.1	61.8	38.5	52.9	45.8
b1436	231	0.717	48.9	62.3	39	45.5	40.6
b4532	177	0.698	49.2	55.9	39	52.5	61
b1438	417	0.683	45.6	56.8	35.3	44.6	54.7
b1439	1407	0.702	51.4	60.8	41.6	51.8	50.6
b1440	1146	0.743	52.8	54.5	44.5	59.4	43.4
b1441	1014	0.698	54.4	63.3	39.9	60.1	50.3
b1442	942	0.716	53	55.7	43.3	59.9	45.1
b1443	795	0.713	54	58.9	44.5	58.5	47.4
b1444	1425	0.717	53.2	63.4	42.9	53.3	47.2
b4598	96	0.602	33.3	31.2	40.6	28.1	23.9
b1445	174	0.702	44.8	46.6	36.2	51.7	45
b1446	234	0.814	54.3	65.4	35.9	61.5	43.3
b1447	450	0.689	51.8	53.3	43.3	58.7	51.5
b1448	519	0.717	53.2	61.8	41.6	56.1	52.2
b1449	1038	0.688	52.3	65	41.6	50.3	49.3
b1450	666	0.666	43.7	59	31.1	41	53.2
b1451	2103	0.699	51.1	56.1	45.5	51.6	50.9
b1452	1062	0.768	50.7	57.3	40.4	54.2	41.7
b1453	1500	0.74	52	55.4	41.8	58.8	45.3
b1454	618	0.623	47.4	56.8	39.8	45.6	57.5
b1455	213	0.671	31.5	35.2	19.7	39.4	41.2
b1457	483	0.658	27.3	34.2	22.4	25.5	44.2
b4745	186	0.71	31.7	35.5	21	38.7	60
b1460	1137	0.641	41.8	49.1	34.8	41.4	58.3
b1461	234	0.621	43.2	55.1	35.9	38.5	54.3
b1462	570	0.687	51.2	57.9	45.3	50.5	61
b1463	846	0.756	51.4	61.7	35.8	56.7	42.6
b1464	894	0.726	52	61.1	41.9	53	46.8
b1465	681	0.703	52.7	48.9	41.4	67.8	51.6
